showers,1
continued,2
throughout,3
week,4
bahia,5
cocoa,6
zone,7
",",8
alleviating,9
drought,10
since,11
early,12
january,13
improving,14
prospects,15
coming,16
temporao,17
although,18
normal,19
humidity,20
levels,21
restored,22
comissaria,23
smith,24
said,25
weekly,26
review,27
.,28
the,29
dry,30
period,31
means,32
late,33
year,34
arrivals,35
ended,36
february,37
__NuMBeR,38
bags,39
kilos,40
making,41
cumulative,42
total,43
season,44
mln,45
stage,46
last,47
again,48
seems,49
delivered,50
earlier,51
consignment,52
included,53
figures,54
still,55
doubt,56
much,57
old,58
crop,59
available,60
harvesting,61
practically,62
come,63
end,64
with,65
estimates,66
around,67
sales,68
standing,69
almost,70
hundred,71
thousand,72
hands,73
farmers,74
middlemen,75
exporters,76
processors,77
there,78
doubts,79
would,80
fit,81
export,82
shippers,83
experiencing,84
dificulties,85
obtaining,86
+bahia,87
superior+,88
certificates,89
in,90
view,91
lower,92
quality,93
recent,94
weeks,95
sold,96
good,97
part,98
held,99
spot,100
bean,101
prices,102
rose,103
cruzados,104
per,105
arroba,106
reluctant,107
offer,108
nearby,109
shipment,110
limited,111
booked,112
march,113
dlrs,114
tonne,115
ports,116
named,117
new,118
also,119
light,120
open,121
june,122
july,123
going,124
york,125
aug,126
sept,127
fob,128
routine,129
butter,130
made,131
april,132
may,133
went,134
times,135
oct,136
dec,137
destinations,138
u.s.,139
covertible,140
currency,141
areas,142
uruguay,143
cake,144
registered,145
buyers,146
argentina,147
convertible,148
liquor,149
selling,150
currently,151
estimated,152
final,153
expected,154
published,155
brazilian,156
trade,157
commission,158
carnival,159
ends,160
midday,161
reuter,162
agriculture,163
department,164
reported,165
farmer-owned,166
reserve,167
national,168
five-day,169
average,170
price,171
follows,172
(,173
bu-sorghum,174
cwt,175
),176
-,177
natl,178
loan,179
release,180
call,181
avge,182
rate-x,183
level,184
wheat,185
iv,186
--,187
v,188
vi,189
corn,190
x,191
rates,192
oats,193
barley,194
n.a,195
sorghum,196
reserves,197
i,198
ii,199
iii,200
matured,201
reflects,202
grain,203
entered,204
feedgrain,205
covers,206
y-dlrs,207
lbs,208
n.a.-not,209
argentine,210
board,211
show,212
registrations,213
grains,214
oilseeds,215
products,216
thousands,217
tonnes,218
showing,219
future,220
shipments,221
month,222
brackets,223
:,224
bread,225
prev,226
feb,227
maize,228
mar,229
nil,230
oilseed,231
sunflowerseed,232
soybean,233
detailed,234
subproducts,235
apr,236
linseed,237
vegetable,238
oil,239
sunoil,240
jun,241
linoil,242
jul,243
champion,244
inc,245
directors,246
approved,247
two-for-one,248
stock,249
split,250
common,251
shares,252
shareholders,253
record,254
company,255
voted,256
recommend,257
annual,258
meeting,259
increase,260
authorized,261
capital,262
five,263
computer,264
terminal,265
systems,266
completed,267
sale,268
warrants,269
acquire,270
additional,271
one,272
<,273
sedio,274
n.v.,275
>,276
lugano,277
switzerland,278
exercisable,279
years,280
purchase,281
share,282
right,283
buy,284
holdings,285
pct,286
's,287
outstanding,288
certain,289
circumstances,290
involving,291
change,292
control,293
conditions,294
occur,295
equal,296
stock's,297
market,298
time,299
exceed,300
technolgy,301
rights,302
dot,303
matrix,304
impact,305
technology,306
including,307
improvements,308
woodco,309
houston,310
tex,311
but,312
continue,313
exclusive,314
worldwide,315
licensee,316
moves,317
reorganization,318
plan,319
help,320
pay,321
current,322
operation,323
costs,324
ensure,325
product,326
delivery,327
makes,328
generated,329
labels,330
forms,331
tags,332
ticket,333
printers,334
terminals,335
shr,336
cts,337
vs,338
net,339
assets,340
deposits,341
loans,342
note,343
qtr,344
includes,345
extraordinary,346
gain,347
tax,348
carry,349
forward,350
ohio,351
mattress,352
co,353
first,354
quarter,355
ending,356
profits,357
earned,358
fiscal,359
decline,360
due,361
expenses,362
related,363
acquisitions,364
middle,365
seven,366
licensees,367
sealy,368
well,369
because,370
substantially,371
higher,372
noting,373
typically,374
reports,375
results,376
report,377
likely,378
issued,379
it,380
delay,381
administrative,382
considerations,383
conducting,384
appraisals,385
connection,386
oper,387
loss,388
two,389
profit,390
revs,391
avg,392
shrs,393
six,394
mths,395
calculated,396
payment,397
preferred,398
dividends,399
exclude,400
credits,401
four,402
nine,403
prior,404
periods,405
operating,406
carryforwards,407
dlr,408
billion,409
dean,410
foods,411
expects,412
earnings,413
fourth,414
year-ago,415
chairman,416
kenneth,417
douglas,418
told,419
analysts,420
food,421
processor,422
he,423
repeated,424
projection,425
third-quarter,426
``,427
probably,428
slightly,429
'',430
falling,431
range,432
project,433
whether,434
anticipated,435
performance,436
enough,437
us,438
overall,439
experience,440
improvement,441
bottom,442
line,443
effects,444
reform,445
act,446
alone,447
president,448
howard,449
derive,450
benefits,451
various,452
dairy,453
frozen,454
ryan,455
milk,456
larsen,457
co.,458
benefit,459
acquisition,460
december,461
elgin,462
blenders,463
west,464
chicago,465
major,466
shareholder,467
e.b.i,468
ltd,469
united,470
kingdom,471
blender,472
licensing,473
arrangements,474
australia,475
canada,476
brazil,477
japan,478
provides,479
ann,480
entry,481
mcdonalds,482
corp,483
mcd,484
've,485
commodity,486
credit,487
corporation,488
ccc,489
accepted,490
bonus,491
cover,492
long,493
tons,494
flour,495
north,496
yemen,497
march-may,498
awarded,499
paid,500
form,501
commodities,502
inventory,503
pillsbury,504
purchases,505
complete,506
enhancement,507
program,508
initiative,509
announced,510
magma,511
copper,512
subsidiary,513
newmont,514
mining,515
cutting,516
cathode,517
cent,518
cents,519
lb,520
effective,521
immediately,522
brown-forman,523
three-for-two,524
cash,525
dividend,526
cited,527
improved,528
outlook,529
strong,530
flow,531
reasons,532
raising,533
class,534
a,535
b,536
declared,537
quarterly,538
classes,539
payable,540
holders,541
today,542
third,543
declined,544
bit,545
second,546
charge,547
restructuring,548
beverage,549
operations,550
corporate,551
improve,552
div,553
yr,554
stockholders,555
include,556
adjustment,557
universal,558
life,559
business,560
previously,561
owned,562
homes,563
dropped,564
seasonally,565
adjusted,566
rate,567
units,568
association,569
realtors,570
nar,571
highest,572
unit,573
set,574
november,575
group,576
drop,577
surprising,578
considering,579
significant,580
portion,581
near-record,582
pace,583
sellers,584
seeking,585
get,586
favorable,587
gains,588
treatment,589
laws,590
john,591
tuccillo,592
*,593
blah,594
qtly,595
eights,596
three,597
standard,598
trustco,599
least,600
recorded,601
stable,602
interest,603
growing,604
economy,605
provide,606
growth,607
brian,608
o'malley,609
return,610
',611
equity,612
rev,613
months,614
special,615
international,616
coffee,617
organization,618
ico,619
producing,620
countries,621
present,622
proposal,623
reintroducing,624
quotas,625
firm,626
undertaking,627
try,628
negotiate,629
september,630
quota,631
distribution,632
basis,633
delegates,634
unchanged,635
producer,636
shortfall,637
redistributions,638
totalling,639
resumption,640
contact,641
consumers,642
scheduled,643
evening,644
postponed,645
tomorrow,646
mclean,647
industries,648
states,649
lines,650
agreed,651
principle,652
transfer,653
south,654
american,655
service,656
arranging,657
charters,658
crowley,659
mariotime,660
transport,661
negotiations,662
contract,663
within,664
next,665
